Title,Actors,Description
The Secret Life of Pets,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Hacksaw Ridge,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Jason Bourne,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
Lion,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg","When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors."
Gold,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."
Manchester by the Sea,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Hounds of Love,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter","A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room."
Trolls,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
Independence Day: Resurgence,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
Paris pieds nus,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard","Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing."
Bahubali: The Beginning,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia","In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people."
Dead Awake,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.
Bad Moms,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate","When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
Assassin's Creed,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson","When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society."
Why Him?,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
Nocturnal Animals,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
Deadpool,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Resident Evil: The Final Chapter,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
Captain America: Civil War,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.
Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
The Magnificent Seven,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
5/25/1977,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn","Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything."
Sausage Party,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",A sausage strives to discover the truth about his existence.
Moonlight,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert","A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
Don't Fuck in the Woods,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White","A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
The Founder,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
Lowriders,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori","A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Miss Sloane,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg","In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
Fallen,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine","A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
The Last Face,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris","A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
Star Wars: Episode VII - The Force Awakens,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
Underworld: Blood Wars,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
Mother's Day,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",Three generations come together in the week leading up to Mother's Day.
John Wick,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
Silence,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
Don't Breathe,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Me Before You,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
Their Finest,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston","A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
Sully,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey","The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
The Autopsy of Jane Doe,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
The Girl on the Train,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
Fifty Shades of Grey,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The Prestige,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
Kingsman: The Secret Service,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine","A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
Patriots Day,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
Mad Max: Fury Road,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
Wakefield,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",A man's nervous breakdown causes him to leave his wife and live in his attic for several months.
Deepwater Horizon,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history."
The Promise,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
Allied,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
A Monster Calls,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.
Collateral Beauty,"Will Smith, Edward Norton, Kate Winslet, Michael Peña","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
Zootopia,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
Inglourious Basterds,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Ghostbusters,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
Captain Fantastic,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
The Wolf of Wall Street,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Gone Girl,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Furious Seven,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Jurassic World,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
Live by Night,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan."
Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
The Hateful Eight,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
The Accountant,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
Prisoners,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Warcraft,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
The Help,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
War Dogs,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner","Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan."
Avengers: Age of Ultron,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
The Nice Guys,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
Kimi no na wa,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
The Void,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
Personal Shopper,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Legend,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
Thor,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
The Martian,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
Contratiempo,"Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie",A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.
The Man from U.N.C.L.E.,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
Hell or High Water,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
The Comedian,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco",A look at the life of an aging insult comic named Jack Burke.
The Legend of Tarzan,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
All We Had,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",A mother struggles to make a better life for her daughter.
Ex Machina,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
The Belko Experiment,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley","In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
12 Years a Slave,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
The Bad Batch,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna",A dystopian love story in a Texas wasteland and set in a community of cannibals.
300,"Gerard Butler, Lena Headey, David Wenham, Dominic West",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Harry Potter and the Deathly Hallows: Part 2,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Office Christmas Party,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston","When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
The Neon Demon,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
Dangal,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
10 Cloverfield Lane,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
Finding Dory,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
Miss Peregrine's Home for Peculiar Children,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
Divergent,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
Mike and Dave Need Wedding Dates,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
Boyka: Undisputed IV,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for."
The Dark Knight Rises,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
The Jungle Book,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."
Transformers: Age of Extinction,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci","Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help."
Nerve,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
Mamma Mia!,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård",The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.
The Revenant,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Fences,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
Into the Woods,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
The Shallows,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
Whiplash,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Furious 6,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
The Place Beyond the Pines,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
No Country for Old Men,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
The Great Gatsby,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Shutter Island,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley","In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
Brimstone,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten","From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."
Star Trek,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
